Vertical	Proveedor	Sub-proveedor	Ecuabet	Doradobet Ecuador	Doradobet Chile	Gangabet Chile	Doradobet Costa Rica	Doradobet Guatemala	Doradobet Nicaragua	Paniplay	Doradobet El Salvador	Gangabet México	Netabet	Red Casino	Ganamex	Camanbet VES	Camanbet 2 USD	Doradobet Honduras	Ganaplay Guatemala	Ganaplay El salvador	Doradobet Bolivia	Doradobet Perú	Gangabet Perú
	ZEUSPLAY	ZEUSPLAY	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	SI	SI	SI	SI	NO	NO	NO	SI	NO	NO
	XPRESS	Goldenrace	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI
	XPRESS	Goldenrace SLOT	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
	XPRESS	SPINMATIC	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	NO	NO
	WorldMatch	WorldMatch	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NO	SI	SI	SI	SI	SI	NO	NO	NO	SI	NO
	WAC	LEANDER	NO	NO	NO	NO	NO	NO	NO	NO	NO	SI	NO	NO	SI	NO	NO	NO	NO	NO	NO	NO	NO
	WAC	TRIPLECHERRY	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	NO	NO	SI	SI	SI	SI	SI	SI	NO	NO	NO
LIVE	VIVOGAMING	VIVOGAMING	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	NO	NO	SI	NO	NO
	VIBRAGAMING	VIBRAGAMING	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	NO	NO
	URGENTGAMES	URGENTGAMES	SI	NO	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	SI	SI	SI	NO	NO
